standard_text,dialect_text,dialect
কিন্তু ছেলে হঠাৎ করে তরুণীকে না জানিয়ে দেশের বাইরে চলে যায়,কিন্তু ফোয়া অটাথ গরি মাইফোয়ারে ন জানাই বিদেশ গেয়্যুয়,Chittagong
এর মাঝে মেয়েটি  তার পরিবারের পছন্দে বিয়ে করে,ইন অর মাযোদ্দি মাইয়্যা ইবা তার ফরিবারর ফচন্দে বিয়া গরে,Chittagong
সে মেয়েটির  সাথে যোগাযোগ করে,ইতে মাইফোয়াইবার ফোয়ারে যোগাযোগ গরে,Chittagong
মেয়েটি  কাউকে বিয়ে করতে রাজি হয় না,মাইফোইবা হনিকারে বিয়া গইরতো রাযি ন মই,Chittagong
ওই ছেলে কোন কিছুই শুনতে চায় না তার সাথে দেখা করতে চায়,অই ফোয়া হনো কিচু ফুইন্তো ন চায় তার ফোয়ারে দেহা গইরতো চাই,Chittagong
মেয়ে মামলা চায় না কারণ সে বিবাহিত মামলার বিষয়টা জানাজানি হলে সংসার টিকবে না,"মাইয়্যা মামলা ন চায় হারন ইবা বিয়াইত্যা ,মামলার বিষয়্যান জানাজানি অইলে সংসার ন টিকিবো",Chittagong
আমার স্বামী বিভিন্ন মেয়ের সাথে সারা রাত জেগে কথা বলে,আঁর জামাই বিবিন্ন মাইফোয়ার ফোয়ারে আরা রাইত জাগি হতা হয়,Chittagong
এখন কথা হলো আমি কাবিনের টাকা দিয়ে দিবো প্রতি মাসে মাসে,এহন হতা অইলদি আঁই হাবিনর টিয়া দি দিয়্যুম ফতি মাসে মাসে,Chittagong
আমি সাত মাস প্রেম করে একজনকে বিয়ে করেছি,আঁই সাত মাস ফ্রেম গরি একজনঅরে বিয়া গইরগি,Chittagong
এখন বিয়ের পর জানতে পারি আমার স্বামী আগে দুইটি বিয়ে করেছিল,আঁই বিয়ার ফর জানিত ফারি আঁর জামাইর আগে দুয়্যা বিয়া গইরগিল,Chittagong
আমি মনসিক ভাবে খুব সমস্যার মধ্যে আছি,আঁই মানুসিক বাবে কুব সমস্যাত আচি,Chittagong
আমার একটাই কথা ছেলে মানুষের কাছে কিসের প্রয়োজন থাকতে পারে,আঁর এক্কানই হতা ফোয়াওক্কলর হাচে কি অর ফ্রয়োজন তাকিত ফারে,Chittagong
ক্লাসের সব মেয়েদের সাথেই মিশতাম,ক্লাস অর বেজ্ঞুন মাইফোয়ার লই মিশিতাম,Chittagong
আমি ধরে নিলাম আমার অনেক দোষ অনেক ভুল,আঁই দরি লইলাম আঁর বউত দুষ বউত বুল,Chittagong
কিন্তু আমাদের তিন বছরের বাচ্চা তার কোথায় দোষ?,কিন্তু আঁরার তিন বচরর বাইচ্চা ইতার দুষ আন হডে?,Chittagong
আমরা বলি একটু সময় নেওয়ার জন্য আর উনার স্ত্রীকে নিয়ে আসার জন্য,আঁরা এক্কা সময় লইতো হয়্যি আর ইবার বউওরে লয় আইত,Chittagong
তোমাকে যেদিন বলেছিলাম বিয়েটা করে ফেলো,তোঁয়ারে যেদিন বিয়া গরি ফেলাইতো হইলাম,Chittagong
সেদিন কথাটা বলেছিলাম শুধু তোমার ভালোর জন্য,এদিন হতায়ান হইলাম তোঁয়ার বালার লাই,Chittagong
কিন্তু তুমি এখন এতোই ভালো আছো যে আমি সেটা মানতে পারছি না,কিন্তু তুঁই এহন এতোই বালা আচো ইয়ান আঁই মানি লইত ন ফারির,Chittagong
তুমি আর আমার নেই আমি এটা মানতে পারছি না,তুতুঁই আর আঁর নাই ইয়ান মানি লত ন ফারির,Chittagong
পছন্দ করেই পরিবারের মাধ্যমে বিয়ে করে এনেছে,ফচন্দ গরিই ফরবারর মাদ্যমে বিয়া গরি আইন্নে,Chittagong
আমার ভালোবাসার মানুষের সাথে আমার বিয়ে হয়েছে ,আঁর বালবাসার মানুষঅর ফোয়ারে আঁর বিয়া অইয়্যে,Chittagong
তাকে ছাড়া আমি হয়তো বাচঁতে পারবো না ,তারে চারা আএ বাচিত ন ফাইরগম ফঁল্লাই,Chittagong
এখন আর মানুষের মধ্যে মায়া বিষয়টা খুব একটা নেই,এহন আর মানুষর মইদ্ধে মায়া হদে জিনিসসান কুব এক্কান নাই,Chittagong
আমি আমার ছোট বাচ্চাকে নিয়ে বাবার বাড়িতে যাই,আঁই আঁর গুরা ফোয়াওয়ারে লই বাফর বারিত যাইর,Chittagong
আপনি নিজের পরিবার নিয়ে বসুন,অনে নিযর ফরিবার লই বয়্যুন,Chittagong
পরিবারে ছোট খাটো ঝামেলা থাকে,ফরিবারত চোড হাডো যামিলা তাকে,Chittagong
আমাকে একটু সাহায্য  করবেন,আঁরে এক্কানা সাহায্য গরিবান,Chittagong
দয়া করে নাম পরিচয় গোপন রাখবেন,দয়া গরি নাম ফরিচয় গোফন রাকিবান,Chittagong
আমি একটি কঠিন সমস্যা নিয়ে হাজির হয়েছি,আঁই এক্কান কটিন সমস্যা লই আযির অয়্যি,Chittagong
একসময় ছেলের মেয়েটাকে ভালো লাগবে ,একসময় ফোয়াইবারতুন মাইফোয়া ইবারে গম লাগিতো,Chittagong
তাদের চার বছরের একটি মেয়ে বাচ্চা আছে,তারার চাইর বচরর ওজ্ঞা যের ফোয়া আচে,Chittagong
গত এক মাস আগে স্ত্রীর সাথে ঝগড়া করে স্বামী দেশে চলে আসে,গত এম্মাস আগে বউঅর ফোয়ারে হইয্যা গরি জামাই দেশ অত আ গেইয়্যুয়,Chittagong
ছেলে মেয়ে একজন আরেকজন কে প্রচন্ড ভালোবাসে,ফোয়া মাইয়্যা একজন আরেকজন অরে ফ্রচন্ড বালবাসে,Chittagong
সে বিয়ে করে সুখী হতে চায়,ইতে বিয়া গরি সুকি অইত চায়,Chittagong
ছেলে ইউরোপে পড়াশোনা করে,ফোয়াইবা ইঊরোফ ফরাশোনা গইরতো চাই,Chittagong
কিন্তু মেয়ের পরিবার রাজিনা,কিন্তু মাইয়্যার ফরিবার রাযি নই,Chittagong
মেয়েকে অন্য ছেলের সাথে বিয়ে দেওয়ার আয়োজন করে,মাইয়্যারে অইন্য ফোয়ার লই বিয়া দিবর আয়োজন গরে,Chittagong
বাধ্য হয়ে ছেলে মেয়ে নিজেদের ইচ্ছায় বিয়ে করে নেয়,বাইদ্য অয় ফোয়া মাইয়্যা নিজরার ইচ্চাত বিয়া গরি ফেলাই,Chittagong
আজকে দেয়ালে পিঠ থেকে গেছে,আযিয়া দেয়ালত ফিট টেকি গেয়্যুই,Chittagong
আজকে প্রায় ৮ দিন পানি নেই ,ফানি নাই আযিয়া ফ্রায় আস্ট দিন,Chittagong
অথচ আসে পাশের সব বাড়ি তেই পানি দিয়ে দিচ্ছে শুধু আমাদের বাড়িতেই পানি দিচ্ছে না,অতচ ফাশর বেজ্ঞিন বারিত ফানি দি ফিলার শুদু আঁরো বারিতই ন ফানি ন দের,Chittagong
যাদের সাথে ভালো সম্পর্ক রয়েছে শুধু তাদের পানি দিবে আর কাউকে দিবে না,যারার লয় বালা মিল আইসসে এতারোরে ফানি দিয়ে দে আর কোন্নারে নো দিবো,Chittagong
জানিনা পানি পাবো নাকি পাবো না,হইন্নো ফারি ফানি ফাইয়্যুম নে ন ফাইয়্যুম,Chittagong
পাশ করা ডাক্তাররা এখন ভালো অবস্থায় নেই,ফাশ গরা ডাক্তর এহন বালা অবস্তাত নেই,Chittagong
কেন এত টাকা ধার করে ডাক্তারি পড়তে হবে,এত টিয়া দার গরি ডাক্তরি কিল্লাই ফরা ফইরগে দে,Chittagong
যেহেতু ভর্তি হয়ে গেছেন পড়াশোনা চালিয়ে যান,যেহেতু বর্তি অই গেয়্যুন গই ফরাশোনা চালাই যন,Chittagong
স্বামীরে অভিযোগ স্ত্রী তার সংসারের দায়িত্ব পালন করছে না,জামাইর অবিযোগ বউ টিকমতো তার সংসারঅর দায়িত্ত ফালন ন গরের,Chittagong
দুজনেই দুজনকে সন্দেহ করে,দুজনেই দুজনরে সন্দেহ গরে,Chittagong
স্ত্রী ধারণা স্বামী পরকীয়ায় আছে,বউঅর দারোনা জামাই ফরকিয়া গরের,Chittagong
এই বিষয়টা নিয়ে আর কথা বলতে চাচ্ছি না ,এই বিষয়্যান লই আর হতা হইতো ন চাইর,Chittagong
আজকাল ছোটরাও পাত্তা দিচ্ছে না,আইযহাল গুরাওক্কলও ফাত্তা ন দের,Chittagong
কেউ আর ভয় পাচ্ছে না,হনিকাই আর ন ডারার,Chittagong
আমার এসব আর একটুও ভালো লাগছে না,আঁর এগিন এক্কানাও গম ন লাগের,Chittagong
যারা ভেবেছিলেন বড় হয়ে গরীবদের সেবা করবেন কিন্তু বড় হয়ে দেখেন নিজেই গরীব,যারা বাইবিল ডঅর মানুষ অই গরিবর সেবা গরিবো কিন্তু ড অর মানুষ অই চাআর ইতারাই গরিব,Chittagong
মহিলার বয়স হবে ৮০ এর উপরে,মহিলা ইবার বয়স আশি বচরর উওরে অইবো,Chittagong
"একটাই পৃথিবী, কিন্তু একেক এলাকার মানুষের চিন্তা একেক রকম",ফিতিবি এক্কান কিন্তু এক এক এলাকার মানুষ অর চিন্তা এক এক ডিল্লা,Chittagong
নতুনরা অনেক কিছু শিখতে পারবে  আশা করি,নতুনরা বউত কিচু শিকিত ফারিবো আশা গরি,Chittagong
হোকনা ভালো কিছুর শুরুটা এভাবেই,ওকএনা বালা কিচুর শুরু য়ান এনগরি,Chittagong
তুমি আমার সাথে আর কথা বলবা না,তুঁই আঁর ফোয়ারে আর হিতা ন হইবা,Chittagong
আমরা অনেক বড় হয়ে গেছি মনে হচ্ছে,আঁরা বউত ড অর অই গেয়্যিগই ফান মনোত অর,Chittagong
রাজকুমারির মায়া পৃথিবী যায়নি আজও ভুলে,রাজকুমারির মায়া ফিতিবি আইযো ন বুলে,Chittagong
জীবন থেকে রঙ হারায় গেছে,যিবনত্তুন রং আযি গেয়্যুই,Chittagong
একটা রঙিন ছবি তুলতে হবে আমাদের সবার,এক্কান কালার চবি তুলা ফরিবো আঁরার বেজ্ঞুনর,Chittagong
আর কত ছুটি কাটাবো?,আর হদিন চুটি হাডাইয়্যুম?,Chittagong
পুরোটা দেখার অপেক্ষায় বসে আছি ,গুডায়ান দেইবার অফেক্কার লাই বই তাইক্কি,Chittagong
আপনি বেঁচে আছেন?,অনে বাচি আচন নে?,Chittagong
আশেপাশে কেউ থাকলে কল দিয়েন,আশেফাশে হনিকাই তাকিলে কল দিয়ন,Chittagong
দেখা করা যাবে,দেহা গরা যাইবো,Chittagong
কিছু পাইতে হলে কিছু ছাড়তে হবে,কিচু ফাইতো অইলে কিচু চাইরতো অই,Chittagong
বাংলাদেশে আমাকে সবাই আমার ডাক নামে চিনে,বাংলাদেশঅত আঁরে বেজ্ঞুনে আঁর ডাকনামে চিনে,Chittagong
দুই ঘন্টা ধরে বিদ্যুৎ যায়নি,দুই গন্টা দরি কাআরন ন যায়,Chittagong
বিদ্যুৎ অফিসের লোকটা কি মারা গেলো নাকি?,বিদ্যুত আফিসর মানুষওয়া কি মরি গেইয়্যুই নিকি?,Chittagong
সেইবার আমি প্রায় ৪ মাস পরে বাসায় গিয়েছি,অইমত্তন আঁই ফ্রায় চাইর মাস ফর বাসাত গেয়্যি,Chittagong
বাবার মুখের দিকে তাকিয়ে কেমন জানি একটা শূন্যতা অনুভব করলাম ,আব্বুর মুকর ইক্কা চাই কেন যানি হালি হালি লাগের,Chittagong
কবে যে আমার স্বপ্নটা পূরণ হবে,হত্তে যে আঁর সফ্ন আন ফুরন অইবো,Chittagong
আপনি কি আপনার হাত ধুতে জানেন?,অনে কি অনর আত দুইতো জানন নে?,Chittagong
আপনি কি খামারের পশু পছন্দ করেন?,অনে কি হামারর ফশু ফচন্দ গরন নে?,Chittagong
আমি আমার পরিবারের কথা বলতে চাই,আঁই আঁর ফরিবারর হতা হইতো চাই,Chittagong
"আমার পরিবারে আমি  মা, বাবা এবং একটি ছোট্ট বোন","আঁর ফরিবারে আঁই, মা, বাবা আর ওজ্ঞা গুরা বইন",Chittagong
আমাদের সবাই একসময়ে একসাথে আছি ,আঁরার বেজ্ঞুন একসময় এক্কোফোয়ারে আচি,Chittagong
আমরা খুব খুশি,আঁরা কুব কুশি,Chittagong
আমাদের পরিবারে আনন্দের বাইরে কোন ঝগড়া নেই,আঁরার ফরিবারত আনন্দর বাইরে হনো হইয্যা নাই,Chittagong
আমার বন্ধুরা আমার জীবনের অনেক গুরুত্বপূর্ণ অংশ,আঁর বন্দুওক্কল আঁর জিবনর বউত গুরুত্বপূর্ণ অংশ,Chittagong
আমি সবসময় আমার গ্রামের মানুষদের পাশে থাকতে চাই,আঁই এগাযা আঁর গেরামর মানুষওক্কলর ফাশে তাইক্তো চাই,Chittagong
খুব সুন্দর,বর সুন্দর,Chittagong
আপনার লেখা অসাধারণ,অনর লেহা অসাদারন,Chittagong
আপনার ছবি দেখে খুব ভালো লেগছে,অনর চবি দেকি কুব গম লাইজ্ঞে,Chittagong
অসাধারণ করে লিখেছেন,অসাদারন গরি লেইক্কোন,Chittagong
আমি ভালো লাগলো আপনার কথা পড়ে,আত্তুন গম লাইজ্ঞে অনর হতা ফরি,Chittagong
আপনার এই পোস্টটি খুব উপকারী,অনর এই ফোস্ট ইয়ান কুব উফকারি,Chittagong
আপনার সুন্দর সুন্দর ছবিগুলো দেখে আনন্দ পেয়েছি,অনর সুন্দর সুন্দর চবিগিন দেকি আনন্দ পাইয়্যি,Chittagong
আপনি খুব সুন্দরভাবে সমস্যাটি সমাধান করেছেন,অনে কুব সুন্দর গরি সমস্যাগান সমাদান গইরগন,Chittagong
আপনার ব্লগটি পড়ে অনেক কিছু শিখতে পেরেছি,অনর ব্লগকান ফরি বউত কিচু শিকিত ফাইরগি,Chittagong
আমি আপনার কাজকে  ভালোবাসি,আঁই অনর হাযরে বালবাসি,Chittagong
আপনার লেখার ধরণ খুব সুন্দর,অনর লেহার দরন কুব সুন্দর,Chittagong
আপনার ছবিটি দেখে মন ভরে গেলো,অনর চবিয়ান দেহি মন বরি গেইয়্যুই,Chittagong
খুব সুন্দর কথা বলেছেন,কুব সুন্দর হতা হয়্যুন,Chittagong
আপনার মজার মজার কথা শুনলে সারা দিন মন ভালো থাকে,অনর মযার মযার হতা ফুনিলে আরাদিন মন বালা তাকে,Chittagong
একদিন সুন্দর একটি বাগানে একটি মেয়ে হাঁটছিল,এদ্দিন সুন্দর এক্কান বাগানত ওজ্ঞা মাইফোয়া আডের,Chittagong
সে আকাশে উড়ন্ত পাখির গান শোনতেই মন খুশি হয়ে উঠত,অই আস্সানর উরন্ত ফেইকঅর গান ফুনিলেই মন কুশি অই যাইতই,Chittagong
সে ফুলগুলোর রঙিন মেলা দেখে হৃদয় ভরে যায়,অই ফুল্লুন অর রঙিন মেলা দেহি রিদয় বরি যা গই,Chittagong
তার পাশে থাকা পুতুলগুলো সেই মেয়ের সাথে খেলতে আসে,তাঁর ডাহদ্দি তাকা ফুতুল্লুন অই মাইফোয়ার ফোয়ারে কেলা হাইতো আইয়্যে,Chittagong
সে আরও একটি বন্ধু বানাতে চায় যার নাম ছিল রাহাত,ইবা আরও ওজ্ঞা বন্দু বানাইতো চার যার নাম রাহাত,Chittagong
তোমার বন্ধুরা সত্যিই ভালো হৃদয়ের মানুষ,তোঁয়ারা বন্দুওক্কল সত্যিই বালা মনোর মানুষ,Chittagong
তোমার বন্ধুরা  সবাই খুব মেধাবী,তোঁয়ারা বান্দুবিওক্কল বেজ্ঞুন বর মেদাবি,Chittagong
তোমার বন্ধুদের কাছে থাকতে খুব ভালো লাগে,তোঁয়ার বন্দুওক্কলর হাচে তাইক্তো কুম বালা লাগে,Chittagong
বিয়ের পর মোটা হবে এমন স্বপ্ন নিয়ে বেঁচে আছে হাজারো পাতলা মেয়ে,বিয়ার ফর মোটা অইব এন সফ্ন লই বাচি আচে আযারো লেডা মাইফোয়া,Chittagong
"মেয়েরা যে হারে ভদ্র ছেলে খুঁজছে, ভয় লাগছে কোনো দিন আমি কিডন্যাপ হয়ে না যাই",মাইফোয়াঅক্কল যে হারে বদ্র ফোয়া তুয়ার ডর লাগের হন্দিন আঁরে কিডনাফ গরি লই যা গই,Chittagong
"খন তোমার একা লাগবে, তুমি চারদিকে কিছুই দেখতে পাবে না","এহন তোয়াত্তুন গাআগাই লাগিবো , তুঁই চাইরোমিক্কা কিচু ন দেকিবা",Chittagong
আজ সিঙ্গেল বলে কারো জন্য হাত কাটতে পারি না,আয সিঙ্গেল বলি হনিকার লাই আত হডিত ন ফারির,Chittagong
সিনেমায় বিয়ের পর গল্প শেষ হয়ে যায়  আর বাস্তব জীবনে বিয়ের পরই সিনেমা শুরু হয়,"চিনেমাত বিয়ার ফর গল্ফ শেষ অই য গই, আর বাস্তবত বিয়ার ফর চিনেমা শুরু অই",Chittagong
"আজ গরিব বলে পৃথিবীতে থাকি,বড়লোক হলে মঙ্গল গ্রহে থাকতাম","আয গরিব বলি পিতিবিত তাকি , ডরমানুষ অইলে মঙগল গ্রহত তাকিতাম",Chittagong
একমাত্র মেয়েরাই পারে অবলা ছেলেদের সহজ সরল মনটা কে ফুটবল ভেবে খেলা করতে,একমাত্র মাইফোয়াঅক্কল ফারে সহজ সরলব ফোয়াওক্কলর মন নান এরে ফুটবল টা আরি কেলা হাইতো,Chittagong
মাঝে মাঝে মন চায় থেমে থাকা গাড়ির নিচে পরে মরে যাই,মাজে মাজে মন হঅয়তিয়াই তাইক্কেদে ইল্লা গারিত তলে ফরি মরি যাইগোই,Chittagong
"বউকে ভালোবাসতে শিখুন, কিন্তু কার বউ সেটা দেখার বিষয় না","বউ অরে বালবাইসতে শিকঅন ,কিন্তু হার বউ ইয়ান দেহার বিষয় নয়",Chittagong
একবার ধরলে হাত ছাড়বেনা কখনো রোগা পাতলা মেয়ে গুলোকে দেখে মনে হয় ভিটামিনের বোতল কিনে দিই,এব্বার দইরলে আত ন চারিবা হনো সময় লেডা মাইফোয়া ওক্কলেরে দেইলে মনো অয় বিটামিন অর বতল কিনি দি,Chittagong
স্বপ্ন দেখলাম ক্রাশের সাথে ঘুরতে গেছি তার পর যা হলো সব ইতিহাস,সফ্নঅত দেইলাম ক্রাশর ফোয়ারে গুইরত গেয়্যি তারফর যা অয়্যে ইয়ান ইতিহাস,Chittagong
"যখন ভাবি তুমি ছাড়া আমার জীবনটা অন্ধকার, ঠিক তখনই কারেন্ট চলে আসে",যেত্তে বাবি তুঁই চারা আঁর জিবন নান আঁন্দার টিক এ সময় অত কা আরন আ যাগই,Chittagong
"বউ হারালে বউ পাওয়া যায়, কিন্তু বন্ধুকে টাকা দিলে সেটা আর ফেরত পাওয়া যায় না","বউ আঁযিলে বউ ফা যাই, কিন্তু বন্দুরে টিয়া দিলে আর ফেরত ফা ন যাই",Chittagong
"চুল পরার সমস্যা  নিয়ে ডাক্তারের কাছে গেছিলাম, গিয়ে দেখি ডাক্তার নিজেই টাক","চুল ফরার সমইস্যা লই ডাক্তরর এডে গেইলাম, যাই এরে দেই ডাক্তর নিজেই টাক",Chittagong
"ভালো মানুষ নাকি বেশি দিন বাঁচে না, এটা শোনার পর খুব টেনশনে আছি",বালা মানুষ নাকি বেশিদিন ন বাচে ইয়ান ফুনি টেনশন অত আচি,Chittagong
তোকে ভুলে যাওয়ার জন্য আমি ভালোবাসিনি,তুরে বুলি যাইবর লাই আঁই বাল ন বাসি,Chittagong
"নিজেকে কখনো বেকার ভাববেন না, মনে রাখবেন আপনার শরীরের রক্ত দিয়ে হাজারো মশার সংসার চলে",নিযেরে হনিকাই বেকার ন বাইব্বন মন অত রাইবান শরিরর রক্ত দি আযারও মশার সংসার চলে,Chittagong
বাবু খেয়েছো বলার মানুষটা নেই বলে আজ আমি এতো রোগা,বাবু হায়্যুনে হঁ দে মানুষ ইবা নাই দেই আঁই আযিয়া এত লেডা,Chittagong
"পাশের বাড়ির মেয়েটাকে ভালো লেগেছিল, পরে জানতে পারলাম মেয়েটা ছুটির দিনেও কলেজে যায়",ফাশর বারির মাইফোয়া ইবেরে গম লাইগ্যিল ফরে জানিলাম ইবা চুটির দিনঅত ও কলেজঅত যাই,Chittagong
"আজ আমি রোগা, তাই জন্য মানুষ আমাকে নিয়ে উল্টোপাল্টা সন্দেহ করে",আয আঁই লেডা বলি মানুষ আঁরে লই উল্ডা ফাল্ডা সন্দেহ গরে,Chittagong
কেউ আমার মাকে বলে দিও আমি বিয়ে করবো,হনিকাই আঁর মারে হইদিও আঁই বিয়া গইরগম,Chittagong
হাসতে হাসতে সিগারেট খাওয়া ছেলেটা একদিন কাশতে কাশতে মরে যাবে,আইশত আইশত সিগারেট হাদে ফোয়াইবা এদ্দিন হাইশতে হাইশতে মরি যাইবই,Chittagong
কোনো এক রাতে তুমি আর আমি পাশাপাশি বসে চাঁদ দেখবো,কুনো এক রাতিয়ার এক হনগে বইয়েরে পাশাপাশি চাঁদ দেক্কুম,Chittagong
আপনাদের কি শুক্রবার সকালে সময় হবে?,অনরার কি শুক্কুরবার বেইন্না সময় অইবো নে?,Chittagong
যদি আমি ভুল করি তাহলে আমাকে দয়া করে শুধরে দিবেন,যদি আঁই বুল গরি তইলে দয়া গরি আঁরে শুদরাই দিয়ন,Chittagong
আমি কি শুধু একটা জিনিস বলতে পারি দয়া করে?,আঁই কি দয়া গরি শুদু এক্কান জিনিস হইত ফারি?,Chittagong
আপনার কোনো প্রশ্ন আছে?,অনর কি হনো ফ্রশ্ন আচে নে,Chittagong
একটা কথাও আর বলবে না,আর এক্কান হতাও ন হইবা,Chittagong
আপনারা যারা আমাকে এখনো চিনেন না,অনরা যারা আঁরে এইযো ন চিনন,Chittagong
তিনি আমার সাথে দেখা করলেন,ইবা আঁর ফোয়ারে দেহা গইরগে,Chittagong
আমি পাঁচ বছর চাকরি করেছিলাম,আঁই পাঁচ বচর চ অরি গইরগিলাম,Chittagong
আমার কিন্তু সোভিয়েত দেশ ভালো লাগত,আঁর কিন্তু সোবিয়েত দেশ গম লাগিতো,Chittagong
অনেকগুলো রাশিয়ান শব্দ শিখেছিলাম,বউত রাশিয়ান শব্দ শিক্কিলাম,Chittagong
হঠাৎ শীত করে উঠল আমার,আতিক্কা আত্তুন শিত গরি উইট্টিল,Chittagong
বিছানায় শুয়ে টিভি দেখছিলাম,বিচানাত লুডি টিবি দেইক্কিলাম,Chittagong
"কিছু মনে করবেন না, আপনাকে একটা কথা বলব ?","কিচু মনে ন গইরগন, অনরে এক্কান হতা হয়্যুম নে ?",Chittagong
আমরাই কিছু বুঝতাম না,আঁরাই কিচু ন বুইজতাম,Chittagong
সে রকম বাজে ছেলের পাল্লায় পড়লে সর্বনাশ হয়ে যেত,ইতার নান বাযে ফোয়ার ফাল্লাত ফইরলে সর্বনাশ অই যাইতো,Chittagong
একটি ছোট্ট গ্রামে একজন মেয়ে ছিল,গুরিচ্চাইন্না এক্কান গেরামত ওজ্ঞা মাইফোয়া আচিল,Chittagong
মেয়েটির একজন ভালো বন্ধু ছিল,মাইফোয়া ইবার ওজ্ঞা বালা বন্দু আচিল,Chittagong
তাঁদের প্রতিদিন একসাথে খেলা করতে পছন্দ ছিল,তারার ফত্তিন এক্কোফোয়ারে কেলা হন ফচন্দ আচিল,Chittagong
আমরা সেখানে অনেক মজা করব,আঁরা এডে বউত মজা গইরগম,Chittagong
তারা একটি দূর পাহাড়ের দিকে যাবার পথে একটি পুকুর দেখল,ইতারা দুরে ওজ্ঞা ফাআরর ইক্কা যাইবার ফতত ওজ্ঞা ফইর দেইক্কে,Chittagong
পুকুরে খুবই সুন্দর একটি পাখি দেখতে পেলো,ফইরত কুব সুন্দর ওজ্ঞা ফাকি দেইক্কে,Chittagong
আমরা তো পাখির মতো উড়তে পারিনা,আঁরা ত ফাকির নান উরিত ন ফারি,Chittagong
আমার দাঁত অনেক ব্যথা  করছে,আঁর দাতে বউত বেতা গরের,Chittagong
আমার মাথা অনেক ব্যথা  করছে,আঁত্তুন বউত মাতা হরার,Chittagong
সোহাগ নামক একটি ছেলে ছিল,সোহাগ নামর ওজ্ঞা ফোয়া আচিল,Chittagong
হাজারো স্মৃতি জড়িয়ে আছে এই গানের মধ্যে,আযার সৃতি বেরাই আচে এ গানর মাযে,Chittagong
এখন আমি কত বড় হয়ে গেছি,এহন আঁই হত্ত বর অই গেইয়্যি গই,Chittagong
এখন আবার একটা মেয়েকে অনেক ভালবাসি,এহম আবার ওজ্ঞা মাইফোয়ারে বউত বালোবাসি,Chittagong
কান্না এসে যায় এই গান শুনলে,হান্দানি আই যা গই গান ইবা ফুনিলে,Chittagong
জীবন থেকে কি করে এত তাড়াতাড়ি দিনগুলো কেঁটে গেল হিসাব মিলাতে পারিনা,যিবনতত্তুন কেন গরি এত তারাতারি দিন্নুন হাডি গেয়্যুই ইসাব মিলাইত ন ফারির,Chittagong
ভালোবাসা মানে তো মানুষের জীবন,বালবাসা মানে ত মানুষর জিবন,Chittagong
এই ভালোবাসা না থাকলে মানুষের জীবনের সুখের আশা করাটাই ভুল,এই বালবাসা ন তাহিলে মানুষর জিবনত সুক অর আশা গরা আন ইই বুল,Chittagong
কোন কিছুই খুব সহজে হারিয়ে যায় না,হনোকিচুই সহজে আযি ন যাগই,Chittagong
গল্পের কথা যখনই আসে তখনই আমাদের শিশুদের কথা মনে পড়ে,গল্ফর হতা যেত্তে আইয়্যে এত্তেই আঁরার গুরা ফোয়াওক্কল অর হতা মনোত ফরে,Chittagong
শিশুরা প্রধানত গল্প শুনতে খুব ভালোবাসে,গুরা ফোয়াওক্কল ফ্রদানত কিচ্চা ফুইন্তো বর বালবাসে,Chittagong
আমার মনে হয় আমাদের এখানে শেষ করা উচিত,আঁর মনো অই আঁরার এডে শেষ গরা উচিত,Chittagong
"যদি সময় পাওয়া যায়, আমরা আরো দেখবো",যদি সময় তাকে আঁরা আরো দেইক্কোম,Chittagong
আপনার সাথে দেখা হয়ে আসলেই খুব ভালো লাগলো,অনর ফোয়ারে দেহা অই আসলেই কুব গম লাইজ্ঞে,Chittagong
আমাকে এখন ঘুমাতে দিন,আঁরে এহন গুম যাইত দন,Chittagong
আমি আপনার সাথে পরে দেখা করব,আঁই অনর লই ফরে দেহা গইরগম,Chittagong
চলো পড়াশুনা করি,চলো ফরাশোনা গরি,Chittagong
চলো একটা বিরতি নেই,চলো এক্কান বিরতি লই,Chittagong
চলো বিশ্রাম নেয়া যাক,চলো বিশ্রাম লই,Chittagong
আমি কি দয়া করে এখানে আসতে পারি?,আঁই কি দয়া গরি এডে আইত ফাইরগম নে?,Chittagong
"যেহেতু সবাই এখানে আছে, আমাদের শুরু করা উচিত এখন",যেহেতু বেজ্ঞুন এডে আচে আঁরার শুরু গরা উচিত,Chittagong
আমরা এখানে আছি আলোচনা করার জন্য,আঁরা এডে আচি আলোচনা গরিবর লাই,Chittagong
আমরা এখানে আজ উপস্থিত আছি কথা বলার জন্য,আঁরা এডে আযিয়া উফস্তিত আচি হতা হইবার লাই,Chittagong
আপনি কি বাংলা সিনেমা দেখতে ভালোবাসেন?,অনে কি বাংলা চিনেমা চাইতো বালবাসন নে?,Chittagong
আমি আপনাকে ধন্যবাদ জানাতে চাই,আঁই অনরে দইন্যবাদ জানাতাম চাই,Chittagong
আপনার জন্মদিন কবে?,অনর জন্মদিন হত্তে?,Chittagong
আপনি কি এখানে থাকতে পারেন?,অনে কি এডে তাকিত ফারিবান নে?,Chittagong
আপনি কি কথা বলতে পারেন ইংরেজিতে?,অনে কি ইংরেজিত হতা হইত ফারোন নে?,Chittagong
আপনি কি এই প্রশ্নের জবাব দিতে পারবেন?,অনে কি ফ্রশ্ন ইবার জবাব দিত ফারিবান নে?,Chittagong
আমি আপনার জন্য অপেক্ষা করছি,আঁই অনর লাই আফেক্কা গরির,Chittagong
